load_zone,fuel,period,fuel_cost
Shanxi,Coal,2023,4.436851978302
Shanxi,Coal,2028,4.66352415084839
Shanxi,Coal,2033,4.8971489906311
Shanxi,Coal,2038,5.1199426651001
Shanxi,Coal,2043,5.34420642852783
Shanxi,Coal,2048,5.56847047805786
Shanxi,Hydrogen,2023,0.0
Shanxi,Hydrogen,2028,0.0
Shanxi,Hydrogen,2033,0.0
Shanxi,Hydrogen,2038,0.0
Shanxi,Hydrogen,2043,0.0
Shanxi,Hydrogen,2048,0.0
Shanxi,Uranium,2023,0.9
Shanxi,Uranium,2028,0.979999995231628
Shanxi,Uranium,2033,1.05999999046326
Shanxi,Uranium,2038,1.13999998569489
Shanxi,Uranium,2043,1.22000002861023
Shanxi,Uranium,2048,1.3
