GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Shanxi-Battery_Storage-11185,2023,352358.8843537797,45899.926989903695,370909.5488105919
Shanxi-Battery_Storage-11185,2028,311783.0811818361,34696.88439255462,269023.0736300871
Shanxi-Battery_Storage-11185,2033,308059.79695730534,30719.748605741726,230182.53681809088
Shanxi-Battery_Storage-11185,2038,296946.37972984696,28236.268854795515,208126.0936154934
Shanxi-Battery_Storage-11185,2043,285304.5177587731,25753.302516170064,186206.8957220073
Shanxi-Battery_Storage-11185,2048,273006.370402368,23270.97379388357,164458.14533824375
Shanxi-Central_PV-510,2023,1424865.35122006,23005.325434267204,.
Shanxi-Central_PV-510,2028,1200942.6652613054,20310.620513747497,.
Shanxi-Central_PV-510,2033,977019.9793025508,17658.82699982262,.
Shanxi-Central_PV-510,2038,845339.4074710312,16175.598804967343,.
Shanxi-Central_PV-510,2043,775153.578391003,15454.2923907291,.
Shanxi-Central_PV-510,2048,704967.749310975,14733.05369693839,.
Shanxi-Central_PV-511,2023,1424865.35122006,23005.325434267204,.
Shanxi-Central_PV-511,2028,1200942.6652613054,20310.620513747497,.
Shanxi-Central_PV-511,2033,977019.9793025508,17658.82699982262,.
Shanxi-Central_PV-511,2038,845339.4074710312,16175.598804967343,.
Shanxi-Central_PV-511,2043,775153.578391003,15454.2923907291,.
Shanxi-Central_PV-511,2048,704967.749310975,14733.05369693839,.
Shanxi-Central_PV-512,2023,1424865.35122006,23005.325434267204,.
Shanxi-Central_PV-512,2028,1200942.6652613054,20310.620513747497,.
Shanxi-Central_PV-512,2033,977019.9793025508,17658.82699982262,.
Shanxi-Central_PV-512,2038,845339.4074710312,16175.598804967343,.
Shanxi-Central_PV-512,2043,775153.578391003,15454.2923907291,.
Shanxi-Central_PV-512,2048,704967.749310975,14733.05369693839,.
Shanxi-Central_PV-513,2023,1424865.35122006,23005.325434267204,.
Shanxi-Central_PV-513,2028,1200942.6652613054,20310.620513747497,.
Shanxi-Central_PV-513,2033,977019.9793025508,17658.82699982262,.
Shanxi-Central_PV-513,2038,845339.4074710312,16175.598804967343,.
Shanxi-Central_PV-513,2043,775153.578391003,15454.2923907291,.
Shanxi-Central_PV-513,2048,704967.749310975,14733.05369693839,.
Shanxi-Central_PV-514,2023,1424865.35122006,23005.325434267204,.
Shanxi-Central_PV-514,2028,1200942.6652613054,20310.620513747497,.
Shanxi-Central_PV-514,2033,977019.9793025508,17658.82699982262,.
Shanxi-Central_PV-514,2038,845339.4074710312,16175.598804967343,.
Shanxi-Central_PV-514,2043,775153.578391003,15454.2923907291,.
Shanxi-Central_PV-514,2048,704967.749310975,14733.05369693839,.
Shanxi-Central_PV_EP-ep-50006,2011,1904280.041180508,38085.6537405628,.
Shanxi-Central_PV_EP-ep-50045,2013,1904280.041180508,38085.6537405628,.
Shanxi-Central_PV_EP-ep-50075,2014,1904280.041180508,38085.6537405628,.
Shanxi-Central_PV_EP-ep-50104,2015,1904280.041180508,38085.6537405628,.
Shanxi-Central_PV_EP-ep-50135,2016,1904280.041180508,38085.6537405628,.
Shanxi-Central_PV_EP-ep-50165,2017,1904280.041180508,38085.6537405628,.
Shanxi-Coal_1000_DRY-11369,2023,776144.8507206588,7121.2989018531225,.
Shanxi-Coal_1000_DRY-11369,2028,776144.8507206588,7121.2989018531225,.
Shanxi-Coal_1000_DRY-11369,2033,776144.8507206588,7121.2989018531225,.
Shanxi-Coal_1000_DRY-11369,2038,776144.8507206588,7121.2989018531225,.
Shanxi-Coal_1000_DRY-11369,2043,776144.8507206588,7121.2989018531225,.
Shanxi-Coal_1000_DRY-11369,2048,776144.8507206588,7121.2989018531225,.
