GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
Shanxi-EP_Gas_CCGT_RC-ep-182,1990,860.0,1
Shanxi-EP_Gas_CCGT_RC-ep-183,2015,859.0,1
Shanxi-Coal_Small_RC-ep-184,1990,709.0,1
Shanxi-EP_Coal_600_DRY-ep-185,2009,660.0,1
Shanxi-EP_Coal_600_DRY-ep-186,2009,660.0,1
Shanxi-EP_Coal_600_DRY-ep-187,2010,660.0,1
Shanxi-EP_Coal_600_DRY-ep-188,2010,660.0,1
Shanxi-Coal_Small_RC-ep-189,1990,632.9,1
Shanxi-EP_Coal_600_DRY-ep-190,2013,600.0,1
Shanxi-EP_Coal_600_DRY-ep-191,2013,600.0,1
Shanxi-EP_Coal_600_DRY-ep-192,2005,600.0,1
Shanxi-EP_Coal_600_DRY-ep-193,2005,600.0,1
Shanxi-EP_Coal_600_DRY-ep-194,2008,600.0,1
Shanxi-EP_Coal_600_DRY-ep-195,2008,600.0,1
Shanxi-EP_Coal_600_DRY-ep-196,2012,600.0,1
Shanxi-EP_Coal_600_DRY-ep-197,2011,600.0,1
Shanxi-EP_Coal_600_RC-ep-198,2006,600.0,1
Shanxi-EP_Coal_600_RC-ep-199,2006,600.0,1
Shanxi-EP_Coal_600_DRY-ep-200,2008,600.0,1
Shanxi-EP_Coal_600_DRY-ep-201,2008,600.0,1
Shanxi-EP_Coal_600_DRY-ep-202,2007,600.0,1
Shanxi-EP_Coal_600_DRY-ep-203,2006,600.0,1
Shanxi-EP_Coal_600_RC-ep-204,2005,600.0,1
Shanxi-EP_Coal_600_RC-ep-205,2004,600.0,1
Shanxi-EP_Coal_600_DRY-ep-206,2008,600.0,1
Shanxi-EP_Coal_600_DRY-ep-207,2007,600.0,1
Shanxi-EP_Coal_600_DRY-ep-208,2012,600.0,1
Shanxi-EP_Coal_600_DRY-ep-209,2011,600.0,1
Shanxi-EP_Coal_600_RC-ep-210,2007,600.0,1
Shanxi-EP_Coal_600_RC-ep-211,2007,600.0,1
Shanxi-EP_Coal_600_DRY-ep-212,2012,600.0,1
