GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Shanxi-Coal_1000_DRY-11369,0.4,8.9225
Shanxi-Coal_1000_DRY-11369,1.0,8.3
Shanxi-Coal_1000_DRY-11385,0.4,8.9225
Shanxi-Coal_1000_DRY-11385,1.0,8.3
Shanxi-Coal_1000_DRY-11401,0.4,8.9225
Shanxi-Coal_1000_DRY-11401,1.0,8.3
Shanxi-Coal_1000_DRY-11417,0.4,8.9225
Shanxi-Coal_1000_DRY-11417,1.0,8.3
Shanxi-Coal_1000_DRY-11433,0.4,8.9225
Shanxi-Coal_1000_DRY-11433,1.0,8.3
Shanxi-Coal_1000_RC-11359,0.4,8.471
Shanxi-Coal_1000_RC-11359,1.0,7.88
Shanxi-Coal_1000_RC-11375,0.4,8.471
Shanxi-Coal_1000_RC-11375,1.0,7.88
Shanxi-Coal_1000_RC-11391,0.4,8.471
Shanxi-Coal_1000_RC-11391,1.0,7.88
Shanxi-Coal_1000_RC-11407,0.4,8.471
Shanxi-Coal_1000_RC-11407,1.0,7.88
Shanxi-Coal_1000_RC-11423,0.4,8.471
Shanxi-Coal_1000_RC-11423,1.0,7.88
Shanxi-Coal_100_DRY-ep-296,0.4,10.15875
Shanxi-Coal_100_DRY-ep-296,1.0,9.45
Shanxi-Coal_100_DRY-ep-297,0.4,10.15875
Shanxi-Coal_100_DRY-ep-297,1.0,9.45
Shanxi-Coal_100_DRY-ep-302,0.4,10.15875
Shanxi-Coal_100_DRY-ep-302,1.0,9.45
Shanxi-Coal_100_DRY-ep-303,0.4,10.15875
Shanxi-Coal_100_DRY-ep-303,1.0,9.45
Shanxi-Coal_100_DRY-ep-308,0.4,10.15875
Shanxi-Coal_100_DRY-ep-308,1.0,9.45
Shanxi-Coal_100_DRY-ep-309,0.4,10.15875
Shanxi-Coal_100_DRY-ep-309,1.0,9.45
Shanxi-Coal_100_DRY-ep-310,0.4,10.15875
Shanxi-Coal_100_DRY-ep-310,1.0,9.45
Shanxi-Coal_100_DRY-ep-311,0.4,10.15875
Shanxi-Coal_100_DRY-ep-311,1.0,9.45
Shanxi-Coal_100_DRY-ep-312,0.4,10.15875
Shanxi-Coal_100_DRY-ep-312,1.0,9.45
Shanxi-Coal_100_DRY-ep-315,0.4,10.15875
Shanxi-Coal_100_DRY-ep-315,1.0,9.45
Shanxi-Coal_100_DRY-ep-316,0.4,10.15875
Shanxi-Coal_100_DRY-ep-316,1.0,9.45
Shanxi-Coal_100_DRY-ep-317,0.4,10.15875
Shanxi-Coal_100_DRY-ep-317,1.0,9.45
Shanxi-Coal_100_DRY-ep-318,0.4,10.15875
Shanxi-Coal_100_DRY-ep-318,1.0,9.45
Shanxi-Coal_100_DRY-ep-319,0.4,10.15875
Shanxi-Coal_100_DRY-ep-319,1.0,9.45
Shanxi-Coal_100_DRY-ep-320,0.4,10.15875
Shanxi-Coal_100_DRY-ep-320,1.0,9.45
Shanxi-Coal_100_DRY-ep-321,0.4,10.15875
Shanxi-Coal_100_DRY-ep-321,1.0,9.45
Shanxi-Coal_100_DRY-ep-322,0.4,10.15875
Shanxi-Coal_100_DRY-ep-322,1.0,9.45
Shanxi-Coal_100_DRY-ep-323,0.4,10.15875
Shanxi-Coal_100_DRY-ep-323,1.0,9.45
Shanxi-Coal_100_DRY-ep-324,0.4,10.15875
Shanxi-Coal_100_DRY-ep-324,1.0,9.45
Shanxi-Coal_100_DRY-ep-325,0.4,10.15875
Shanxi-Coal_100_DRY-ep-325,1.0,9.45
Shanxi-Coal_100_DRY-ep-326,0.4,10.15875
Shanxi-Coal_100_DRY-ep-326,1.0,9.45
Shanxi-Coal_100_DRY-ep-327,0.4,10.15875
Shanxi-Coal_100_DRY-ep-327,1.0,9.45
Shanxi-Coal_100_DRY-ep-328,0.4,10.15875
Shanxi-Coal_100_DRY-ep-328,1.0,9.45
Shanxi-Coal_100_DRY-ep-329,0.4,10.15875
Shanxi-Coal_100_DRY-ep-329,1.0,9.45
Shanxi-Coal_100_DRY-ep-330,0.4,10.15875
Shanxi-Coal_100_DRY-ep-330,1.0,9.45
Shanxi-Coal_100_DRY-ep-331,0.4,10.15875
Shanxi-Coal_100_DRY-ep-331,1.0,9.45
Shanxi-Coal_100_DRY-ep-332,0.4,10.15875
Shanxi-Coal_100_DRY-ep-332,1.0,9.45
Shanxi-Coal_100_DRY-ep-333,0.4,10.15875
Shanxi-Coal_100_DRY-ep-333,1.0,9.45
Shanxi-Coal_100_DRY-ep-334,0.4,10.15875
Shanxi-Coal_100_DRY-ep-334,1.0,9.45
Shanxi-Coal_100_DRY-ep-335,0.4,10.15875
Shanxi-Coal_100_DRY-ep-335,1.0,9.45
Shanxi-Coal_100_DRY-ep-336,0.4,10.15875
Shanxi-Coal_100_DRY-ep-336,1.0,9.45
Shanxi-Coal_100_DRY-ep-337,0.4,10.15875
Shanxi-Coal_100_DRY-ep-337,1.0,9.45
Shanxi-Coal_100_DRY-ep-338,0.4,10.15875
Shanxi-Coal_100_DRY-ep-338,1.0,9.45
Shanxi-Coal_100_DRY-ep-339,0.4,10.15875
Shanxi-Coal_100_DRY-ep-339,1.0,9.45
Shanxi-Coal_100_DRY-ep-348,0.4,10.15875
Shanxi-Coal_100_DRY-ep-348,1.0,9.45
Shanxi-Coal_100_OT-ep-298,0.4,9.81475
Shanxi-Coal_100_OT-ep-298,1.0,9.13
Shanxi-Coal_100_OT-ep-299,0.4,9.81475
Shanxi-Coal_100_OT-ep-299,1.0,9.13
Shanxi-Coal_100_OT-ep-300,0.4,9.81475
Shanxi-Coal_100_OT-ep-300,1.0,9.13
Shanxi-Coal_100_OT-ep-301,0.4,9.81475
Shanxi-Coal_100_OT-ep-301,1.0,9.13
Shanxi-Coal_100_RC-ep-304,0.4,9.7395
Shanxi-Coal_100_RC-ep-304,1.0,9.06
Shanxi-Coal_100_RC-ep-305,0.4,9.7395
Shanxi-Coal_100_RC-ep-305,1.0,9.06
Shanxi-Coal_100_RC-ep-306,0.4,9.7395
Shanxi-Coal_100_RC-ep-306,1.0,9.06
