base_gen_project,retrofit_gen_project
Shanxi-Coal_1000_DRY-11369,Shanxi-Coal_1000_DRY-11369_H2
Shanxi-Coal_1000_DRY-11385,Shanxi-Coal_1000_DRY-11385_H2
Shanxi-Coal_1000_DRY-11401,Shanxi-Coal_1000_DRY-11401_H2
Shanxi-Coal_1000_DRY-11417,Shanxi-Coal_1000_DRY-11417_H2
Shanxi-Coal_1000_DRY-11433,Shanxi-Coal_1000_DRY-11433_H2
Shanxi-Coal_1000_RC-11359,Shanxi-Coal_1000_RC-11359_H2
Shanxi-Coal_1000_RC-11375,Shanxi-Coal_1000_RC-11375_H2
Shanxi-Coal_1000_RC-11391,Shanxi-Coal_1000_RC-11391_H2
Shanxi-Coal_1000_RC-11407,Shanxi-Coal_1000_RC-11407_H2
Shanxi-Coal_1000_RC-11423,Shanxi-Coal_1000_RC-11423_H2
Shanxi-Coal_100_DRY-ep-296,Shanxi-Coal_100_DRY-ep-296_H2
Shanxi-Coal_100_DRY-ep-297,Shanxi-Coal_100_DRY-ep-297_H2
Shanxi-Coal_100_DRY-ep-302,Shanxi-Coal_100_DRY-ep-302_H2
Shanxi-Coal_100_DRY-ep-303,Shanxi-Coal_100_DRY-ep-303_H2
Shanxi-Coal_100_DRY-ep-308,Shanxi-Coal_100_DRY-ep-308_H2
Shanxi-Coal_100_DRY-ep-309,Shanxi-Coal_100_DRY-ep-309_H2
Shanxi-Coal_100_DRY-ep-310,Shanxi-Coal_100_DRY-ep-310_H2
Shanxi-Coal_100_DRY-ep-311,Shanxi-Coal_100_DRY-ep-311_H2
Shanxi-Coal_100_DRY-ep-312,Shanxi-Coal_100_DRY-ep-312_H2
Shanxi-Coal_100_DRY-ep-315,Shanxi-Coal_100_DRY-ep-315_H2
Shanxi-Coal_100_DRY-ep-316,Shanxi-Coal_100_DRY-ep-316_H2
Shanxi-Coal_100_DRY-ep-317,Shanxi-Coal_100_DRY-ep-317_H2
Shanxi-Coal_100_DRY-ep-318,Shanxi-Coal_100_DRY-ep-318_H2
Shanxi-Coal_100_DRY-ep-319,Shanxi-Coal_100_DRY-ep-319_H2
Shanxi-Coal_100_DRY-ep-320,Shanxi-Coal_100_DRY-ep-320_H2
Shanxi-Coal_100_DRY-ep-321,Shanxi-Coal_100_DRY-ep-321_H2
Shanxi-Coal_100_DRY-ep-322,Shanxi-Coal_100_DRY-ep-322_H2
Shanxi-Coal_100_DRY-ep-323,Shanxi-Coal_100_DRY-ep-323_H2
Shanxi-Coal_100_DRY-ep-324,Shanxi-Coal_100_DRY-ep-324_H2
Shanxi-Coal_100_DRY-ep-325,Shanxi-Coal_100_DRY-ep-325_H2
Shanxi-Coal_100_DRY-ep-326,Shanxi-Coal_100_DRY-ep-326_H2
Shanxi-Coal_100_DRY-ep-327,Shanxi-Coal_100_DRY-ep-327_H2
