hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
Shanxi-Hydro_NonPumped-ep-30024,2025.01.22,1.22004150975185,2.44008301950371
Shanxi-Hydro_NonPumped-ep-30024,2025.02.08,1.23133816052881,2.46267632105762
Shanxi-Hydro_NonPumped-ep-30024,2025.03.21,2.27628111497066,4.55256222994132
Shanxi-Hydro_NonPumped-ep-30024,2025.04.11,2.32146785682432,4.64293571364864
Shanxi-Hydro_NonPumped-ep-30024,2025.05.22,2.12942427331919,4.25884854663839
Shanxi-Hydro_NonPumped-ep-30024,2025.06.16,2.15201764424602,4.30403528849204
Shanxi-Hydro_NonPumped-ep-30024,2025.07.22,3.97643154879887,7.95286309759773
Shanxi-Hydro_NonPumped-ep-30024,2025.08.19,5.16186,10.32372
Shanxi-Hydro_NonPumped-ep-30024,2025.09.20,5.16186,10.32372
Shanxi-Hydro_NonPumped-ep-30024,2025.10.26,4.38311201736303,8.76622403472606
Shanxi-Hydro_NonPumped-ep-30024,2025.11.19,2.64907156183104,5.29814312366208
Shanxi-Hydro_NonPumped-ep-30024,2025.12.16,1.64366700651114,3.28733401302227
Shanxi-Hydro_NonPumped-ep-30024,2030.01.28,1.22004150975185,2.44008301950371
Shanxi-Hydro_NonPumped-ep-30024,2030.02.14,1.23133816052881,2.46267632105762
Shanxi-Hydro_NonPumped-ep-30024,2030.03.24,2.27628111497066,4.55256222994132
Shanxi-Hydro_NonPumped-ep-30024,2030.04.15,2.32146785682432,4.64293571364864
Shanxi-Hydro_NonPumped-ep-30024,2030.05.06,2.12942427331919,4.25884854663839
Shanxi-Hydro_NonPumped-ep-30024,2030.06.19,2.15201764424602,4.30403528849204
Shanxi-Hydro_NonPumped-ep-30024,2030.07.01,3.97643154879887,7.95286309759773
Shanxi-Hydro_NonPumped-ep-30024,2030.08.23,5.16186,10.32372
Shanxi-Hydro_NonPumped-ep-30024,2030.09.07,5.16186,10.32372
Shanxi-Hydro_NonPumped-ep-30024,2030.10.31,4.38311201736303,8.76622403472606
