load_zone,TIMEPOINT,zone_demand_mw
Shanxi,2025.01.22.00,39416.5638389789
Shanxi,2025.01.22.04,37351.9472097604
Shanxi,2025.01.22.08,39609.249293272
Shanxi,2025.01.22.12,44614.1179616151
Shanxi,2025.01.22.16,43324.6013206792
Shanxi,2025.01.22.20,45275.7381651039
Shanxi,2025.02.08.00,36086.7310366785
Shanxi,2025.02.08.04,34196.5291079455
Shanxi,2025.02.08.08,36263.1388075881
Shanxi,2025.02.08.12,40845.2061396419
Shanxi,2025.02.08.16,39664.6252960435
Shanxi,2025.02.08.20,41450.9339861703
Shanxi,2025.03.21.00,34868.4980436207
Shanxi,2025.03.21.04,33042.1064486856
Shanxi,2025.03.21.08,35038.950557277
Shanxi,2025.03.21.12,39466.3342856914
Shanxi,2025.03.21.16,38325.6080505135
Shanxi,2025.03.21.20,40051.613684099
Shanxi,2025.04.11.00,35247.5049637455
Shanxi,2025.04.11.04,33401.2612073416
Shanxi,2025.04.11.08,35419.8102294805
Shanxi,2025.04.11.12,39895.3178853729
Shanxi,2025.04.11.16,38742.1924026977
Shanxi,2025.04.11.20,40486.9590416607
Shanxi,2025.05.22.00,35058.0011843101
Shanxi,2025.05.22.04,33221.6835253692
Shanxi,2025.05.22.08,35229.3800724446
Shanxi,2025.05.22.12,39680.825724046
Shanxi,2025.05.22.16,38533.8998755677
Shanxi,2025.05.22.20,40269.2859960329
Shanxi,2025.06.16.00,36618.2410478787
Shanxi,2025.06.16.04,34700.1989346943
Shanxi,2025.06.16.08,36797.2470728723
Shanxi,2025.06.16.12,41446.8022207802
Shanxi,2025.06.16.16,40248.832976532
Shanxi,2025.06.16.20,42061.451640564
Shanxi,2025.07.22.00,37332.0356788541
Shanxi,2025.07.22.04,35376.6054191286
Shanxi,2025.07.22.08,37514.531045113
Shanxi,2025.07.22.12,42254.7193694387
Shanxi,2025.07.22.16,41033.3982658399
Shanxi,2025.07.22.20,42881.3500707701
Shanxi,2025.08.19.00,35437.0074656891
Shanxi,2025.08.19.04,33580.8376787364
Shanxi,2025.08.19.08,35610.2391027796
Shanxi,2025.08.19.12,40109.8086007551
Shanxi,2025.08.19.16,38950.4835256762
Shanxi,2025.08.19.20,40704.6306199007
Shanxi,2025.09.20.00,33876.7688796123
Shanxi,2025.09.20.04,32102.3234799889
Shanxi,2025.09.20.08,34042.3733860887
Shanxi,2025.09.20.12,38343.8335499655
Shanxi,2025.09.20.16,37235.5518288633
Shanxi,2025.09.20.20,38912.4664427574
Shanxi,2025.10.26.00,33731.4823932135
Shanxi,2025.10.26.04,31964.6470150279
Shanxi,2025.10.26.08,33896.3766756138
Shanxi,2025.10.26.12,38179.389270426
Shanxi,2025.10.26.16,37075.8606105667
Shanxi,2025.10.26.20,38745.5834809651
Shanxi,2025.11.19.00,38184.7970440576
Shanxi,2025.11.19.04,36184.6996412867
Shanxi,2025.11.19.08,38371.4610819372
Shanxi,2025.11.19.12,43219.9277091539
Shanxi,2025.11.19.16,41970.7084362558
Shanxi,2025.11.19.20,43860.8722951324
Shanxi,2025.12.16.00,40932.585770765
Shanxi,2025.12.16.04,38788.5607967853
Shanxi,2025.12.16.08,41132.6822052703
Shanxi,2025.12.16.12,46330.0458535897
Shanxi,2025.12.16.16,44990.9324107345
Shanxi,2025.12.16.20,47017.1129921056
Shanxi,2030.01.28.00,43094.0837887747
Shanxi,2030.01.28.04,40836.8408090288
Shanxi,2030.01.28.08,43304.7465737426
Shanxi,2030.01.28.12,48776.5637170753
Shanxi,2030.01.28.16,47366.7366606499
Shanxi,2030.01.28.20,49499.9123225491
Shanxi,2030.02.14.00,39453.5814260842
Shanxi,2030.02.14.04,37387.0258372388
Shanxi,2030.02.14.08,39646.4478385809
Shanxi,2030.02.14.12,44656.0167685358
Shanxi,2030.02.14.16,43365.2890937114
Shanxi,2030.02.14.20,45318.2583246015
Shanxi,2030.03.24.00,38121.6886996774
Shanxi,2030.03.24.04,36124.8968751853
Shanxi,2030.03.24.08,38308.0442362869
Shanxi,2030.03.24.12,43148.4977607687
Shanxi,2030.03.24.16,41901.3430833689
Shanxi,2030.03.24.20,43788.3830520856
Shanxi,2030.04.15.00,38536.0565283676
Shanxi,2030.04.15.04,36517.5603586357
Shanxi,2030.04.15.08,38724.437676688
Shanxi,2030.04.15.12,43617.5050355835
Shanxi,2030.04.15.16,42356.7942751941
Shanxi,2030.04.15.20,44264.3456294544
Shanxi,2030.05.06.00,38328.8722648524
Shanxi,2030.05.06.04,36321.2282860297
Shanxi,2030.05.06.08,38516.2406056105
Shanxi,2030.05.06.12,43383.0010029637
Shanxi,2030.05.06.16,42129.0682954922
Shanxi,2030.05.06.20,44026.3639396967
Shanxi,2030.06.19.00,40034.6807083758
Shanxi,2030.06.19.04,37937.6874779759
Shanxi,2030.06.19.08,40230.3877890662
Shanxi,2030.06.19.12,45313.7410702654
Shanxi,2030.06.19.16,44004.0026770635
Shanxi,2030.06.19.20,45985.7365720826
Shanxi,2030.07.01.00,40815.0715552515
Shanxi,2030.07.01.04,38677.2019073553
Shanxi,2030.07.01.08,41014.5935287232
Shanxi,2030.07.01.12,46197.0359571791
Shanxi,2030.07.01.16,44861.7670030791
Shanxi,2030.07.01.20,46882.1305802951
Shanxi,2030.08.23.00,38743.2393952024
Shanxi,2030.08.23.04,36713.8911077186
Shanxi,2030.08.23.08,38932.6333442576
Shanxi,2030.08.23.12,43852.0074873536
Shanxi,2030.08.23.16,42584.5187197388
Shanxi,2030.08.23.20,44502.3257149187
Shanxi,2030.09.07.00,37037.4323483594
Shanxi,2030.09.07.04,35097.4332392955
Shanxi,2030.09.07.08,37218.4875643098
Shanxi,2030.09.07.12,41921.2690009016
Shanxi,2030.09.07.16,40709.5858733247
Shanxi,2030.09.07.20,42542.9546868261
