GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Shanxi-Central_PV-510,2025.01.22.00,0.0
Shanxi-Central_PV-510,2025.01.22.04,0.0
Shanxi-Central_PV-510,2025.01.22.08,0.0133242
Shanxi-Central_PV-510,2025.01.22.12,0.275037
Shanxi-Central_PV-510,2025.01.22.16,0.102885
Shanxi-Central_PV-510,2025.01.22.20,0.0
Shanxi-Central_PV-510,2025.02.08.00,0.0
Shanxi-Central_PV-510,2025.02.08.04,0.0
Shanxi-Central_PV-510,2025.02.08.08,0.0129387
Shanxi-Central_PV-510,2025.02.08.12,0.204038
Shanxi-Central_PV-510,2025.02.08.16,0.0833804
Shanxi-Central_PV-510,2025.02.08.20,0.0
Shanxi-Central_PV-510,2025.03.21.00,0.0
Shanxi-Central_PV-510,2025.03.21.04,0.0
Shanxi-Central_PV-510,2025.03.21.08,0.0680009
Shanxi-Central_PV-510,2025.03.21.12,0.364485
Shanxi-Central_PV-510,2025.03.21.16,0.211876
Shanxi-Central_PV-510,2025.03.21.20,0.0
Shanxi-Central_PV-510,2025.04.11.00,0.0
Shanxi-Central_PV-510,2025.04.11.04,0.0
Shanxi-Central_PV-510,2025.04.11.08,0.190591
Shanxi-Central_PV-510,2025.04.11.12,0.334542
Shanxi-Central_PV-510,2025.04.11.16,0.138702
Shanxi-Central_PV-510,2025.04.11.20,0.0
Shanxi-Central_PV-510,2025.05.22.00,0.0
Shanxi-Central_PV-510,2025.05.22.04,0.0
Shanxi-Central_PV-510,2025.05.22.08,0.709554
Shanxi-Central_PV-510,2025.05.22.12,0.751529
Shanxi-Central_PV-510,2025.05.22.16,0.353105
Shanxi-Central_PV-510,2025.05.22.20,0.0
Shanxi-Central_PV-510,2025.06.16.00,0.0
Shanxi-Central_PV-510,2025.06.16.04,0.0
Shanxi-Central_PV-510,2025.06.16.08,0.268564
Shanxi-Central_PV-510,2025.06.16.12,0.60339
Shanxi-Central_PV-510,2025.06.16.16,0.247963
Shanxi-Central_PV-510,2025.06.16.20,0.0
Shanxi-Central_PV-510,2025.07.22.00,0.0
Shanxi-Central_PV-510,2025.07.22.04,0.0
Shanxi-Central_PV-510,2025.07.22.08,0.0561935
Shanxi-Central_PV-510,2025.07.22.12,0.144735
Shanxi-Central_PV-510,2025.07.22.16,0.0504198
Shanxi-Central_PV-510,2025.07.22.20,0.0
Shanxi-Central_PV-510,2025.08.19.00,0.0
Shanxi-Central_PV-510,2025.08.19.04,0.0
Shanxi-Central_PV-510,2025.08.19.08,0.603661
Shanxi-Central_PV-510,2025.08.19.12,0.78086
Shanxi-Central_PV-510,2025.08.19.16,0.628571
Shanxi-Central_PV-510,2025.08.19.20,0.0
Shanxi-Central_PV-510,2025.09.20.00,0.0
Shanxi-Central_PV-510,2025.09.20.04,0.0
Shanxi-Central_PV-510,2025.09.20.08,0.0265658
Shanxi-Central_PV-510,2025.09.20.12,0.0823422
Shanxi-Central_PV-510,2025.09.20.16,0.036416
Shanxi-Central_PV-510,2025.09.20.20,0.0
Shanxi-Central_PV-510,2025.10.26.00,0.0
Shanxi-Central_PV-510,2025.10.26.04,0.0
Shanxi-Central_PV-510,2025.10.26.08,0.449132
Shanxi-Central_PV-510,2025.10.26.12,0.29617
Shanxi-Central_PV-510,2025.10.26.16,0.0679481
Shanxi-Central_PV-510,2025.10.26.20,0.0
Shanxi-Central_PV-510,2025.11.19.00,0.0
Shanxi-Central_PV-510,2025.11.19.04,0.0
Shanxi-Central_PV-510,2025.11.19.08,0.398527
Shanxi-Central_PV-510,2025.11.19.12,0.467238
Shanxi-Central_PV-510,2025.11.19.16,0.227802
Shanxi-Central_PV-510,2025.11.19.20,0.0
Shanxi-Central_PV-510,2025.12.16.00,0.0
Shanxi-Central_PV-510,2025.12.16.04,0.0
Shanxi-Central_PV-510,2025.12.16.08,0.298839
Shanxi-Central_PV-510,2025.12.16.12,0.458901
Shanxi-Central_PV-510,2025.12.16.16,0.231582
Shanxi-Central_PV-510,2025.12.16.20,0.0
Shanxi-Central_PV-510,2030.01.28.00,0.0
Shanxi-Central_PV-510,2030.01.28.04,0.0
Shanxi-Central_PV-510,2030.01.28.08,0.0114563
Shanxi-Central_PV-510,2030.01.28.12,0.384224
Shanxi-Central_PV-510,2030.01.28.16,0.16746
Shanxi-Central_PV-510,2030.01.28.20,0.0
Shanxi-Central_PV-510,2030.02.14.00,0.0
Shanxi-Central_PV-510,2030.02.14.04,0.0
Shanxi-Central_PV-510,2030.02.14.08,0.0428346
Shanxi-Central_PV-510,2030.02.14.12,0.293474
Shanxi-Central_PV-510,2030.02.14.16,0.145787
Shanxi-Central_PV-510,2030.02.14.20,0.0
Shanxi-Central_PV-510,2030.03.24.00,0.0
Shanxi-Central_PV-510,2030.03.24.04,0.0
Shanxi-Central_PV-510,2030.03.24.08,0.606399
Shanxi-Central_PV-510,2030.03.24.12,0.719192
Shanxi-Central_PV-510,2030.03.24.16,0.671686
Shanxi-Central_PV-510,2030.03.24.20,0.0
Shanxi-Central_PV-510,2030.04.15.00,0.0
Shanxi-Central_PV-510,2030.04.15.04,0.0
Shanxi-Central_PV-510,2030.04.15.08,0.588067
Shanxi-Central_PV-510,2030.04.15.12,0.753965
Shanxi-Central_PV-510,2030.04.15.16,0.278781
Shanxi-Central_PV-510,2030.04.15.20,0.0
Shanxi-Central_PV-510,2030.05.06.00,0.0
Shanxi-Central_PV-510,2030.05.06.04,0.0
Shanxi-Central_PV-510,2030.05.06.08,0.65669
Shanxi-Central_PV-510,2030.05.06.12,0.798195
Shanxi-Central_PV-510,2030.05.06.16,0.651764
Shanxi-Central_PV-510,2030.05.06.20,0.0
Shanxi-Central_PV-510,2030.06.19.00,0.0
Shanxi-Central_PV-510,2030.06.19.04,0.0
Shanxi-Central_PV-510,2030.06.19.08,0.646966
Shanxi-Central_PV-510,2030.06.19.12,0.568462
Shanxi-Central_PV-510,2030.06.19.16,0.433584
Shanxi-Central_PV-510,2030.06.19.20,0.0
Shanxi-Central_PV-510,2030.07.01.00,0.0
Shanxi-Central_PV-510,2030.07.01.04,0.0
Shanxi-Central_PV-510,2030.07.01.08,0.442433
Shanxi-Central_PV-510,2030.07.01.12,0.713883
Shanxi-Central_PV-510,2030.07.01.16,0.0430766
Shanxi-Central_PV-510,2030.07.01.20,0.0
Shanxi-Central_PV-510,2030.08.23.00,0.0
Shanxi-Central_PV-510,2030.08.23.04,0.0
Shanxi-Central_PV-510,2030.08.23.08,0.0472747
Shanxi-Central_PV-510,2030.08.23.12,0.0904472
Shanxi-Central_PV-510,2030.08.23.16,0.0922998
Shanxi-Central_PV-510,2030.08.23.20,0.0
Shanxi-Central_PV-510,2030.09.07.00,0.0
Shanxi-Central_PV-510,2030.09.07.04,0.0
Shanxi-Central_PV-510,2030.09.07.08,0.423236
Shanxi-Central_PV-510,2030.09.07.12,0.470634
Shanxi-Central_PV-510,2030.09.07.16,0.171002
Shanxi-Central_PV-510,2030.09.07.20,0.0
Shanxi-Central_PV-510,2030.10.31.00,0.0
Shanxi-Central_PV-510,2030.10.31.04,0.0
Shanxi-Central_PV-510,2030.10.31.08,0.498581
Shanxi-Central_PV-510,2030.10.31.12,0.552684
Shanxi-Central_PV-510,2030.10.31.16,0.0896406
Shanxi-Central_PV-510,2030.10.31.20,0.0
Shanxi-Central_PV-510,2030.11.12.00,0.0
Shanxi-Central_PV-510,2030.11.12.04,0.0
Shanxi-Central_PV-510,2030.11.12.08,0.168364
Shanxi-Central_PV-510,2030.11.12.12,0.260645
Shanxi-Central_PV-510,2030.11.12.16,0.0806601
Shanxi-Central_PV-510,2030.11.12.20,0.0
Shanxi-Central_PV-510,2030.12.08.00,0.0
Shanxi-Central_PV-510,2030.12.08.04,0.0
Shanxi-Central_PV-510,2030.12.08.08,0.362813
Shanxi-Central_PV-510,2030.12.08.12,0.45118
Shanxi-Central_PV-510,2030.12.08.16,0.264297
Shanxi-Central_PV-510,2030.12.08.20,0.0
Shanxi-Central_PV-510,2035.01.26.00,0.0
Shanxi-Central_PV-510,2035.01.26.04,0.0
Shanxi-Central_PV-510,2035.01.26.08,0.00882853
Shanxi-Central_PV-510,2035.01.26.12,0.127245
Shanxi-Central_PV-510,2035.01.26.16,0.0474659
Shanxi-Central_PV-510,2035.01.26.20,0.0
Shanxi-Central_PV-510,2035.02.24.00,0.0
Shanxi-Central_PV-510,2035.02.24.04,0.0
Shanxi-Central_PV-510,2035.02.24.08,0.11982
Shanxi-Central_PV-510,2035.02.24.12,0.507141
Shanxi-Central_PV-510,2035.02.24.16,0.202772
Shanxi-Central_PV-510,2035.02.24.20,0.0
Shanxi-Central_PV-510,2035.03.29.00,0.0
Shanxi-Central_PV-510,2035.03.29.04,0.0
Shanxi-Central_PV-510,2035.03.29.08,0.525345
Shanxi-Central_PV-510,2035.03.29.12,0.773726
Shanxi-Central_PV-510,2035.03.29.16,0.67651
Shanxi-Central_PV-510,2035.03.29.20,0.0
Shanxi-Central_PV-510,2035.04.12.00,0.0
Shanxi-Central_PV-510,2035.04.12.04,0.0
Shanxi-Central_PV-510,2035.04.12.08,0.581009
Shanxi-Central_PV-510,2035.04.12.12,0.400206
Shanxi-Central_PV-510,2035.04.12.16,0.365329
Shanxi-Central_PV-510,2035.04.12.20,0.0
Shanxi-Central_PV-510,2035.05.28.00,0.0
Shanxi-Central_PV-510,2035.05.28.04,0.0
Shanxi-Central_PV-510,2035.05.28.08,0.524218
Shanxi-Central_PV-510,2035.05.28.12,0.515992
Shanxi-Central_PV-510,2035.05.28.16,0.129151
Shanxi-Central_PV-510,2035.05.28.20,0.0
Shanxi-Central_PV-510,2035.06.28.00,0.0
Shanxi-Central_PV-510,2035.06.28.04,0.0
Shanxi-Central_PV-510,2035.06.28.08,0.0575
Shanxi-Central_PV-510,2035.06.28.12,0.0952659
Shanxi-Central_PV-510,2035.06.28.16,0.0494585
Shanxi-Central_PV-510,2035.06.28.20,0.0
Shanxi-Central_PV-510,2035.07.12.00,0.0
Shanxi-Central_PV-510,2035.07.12.04,0.0
Shanxi-Central_PV-510,2035.07.12.08,0.583183
Shanxi-Central_PV-510,2035.07.12.12,0.740108
Shanxi-Central_PV-510,2035.07.12.16,0.667481
Shanxi-Central_PV-510,2035.07.12.20,0.0
Shanxi-Central_PV-510,2035.08.10.00,0.0
Shanxi-Central_PV-510,2035.08.10.04,0.0
Shanxi-Central_PV-510,2035.08.10.08,0.602049
Shanxi-Central_PV-510,2035.08.10.12,0.72502
Shanxi-Central_PV-510,2035.08.10.16,0.625923
Shanxi-Central_PV-510,2035.08.10.20,0.0
Shanxi-Central_PV-510,2035.09.29.00,0.0
Shanxi-Central_PV-510,2035.09.29.04,0.0
Shanxi-Central_PV-510,2035.09.29.08,0.0543637
Shanxi-Central_PV-510,2035.09.29.12,0.162466
Shanxi-Central_PV-510,2035.09.29.16,0.255183
Shanxi-Central_PV-510,2035.09.29.20,0.0
Shanxi-Central_PV-510,2035.10.20.00,0.0
Shanxi-Central_PV-510,2035.10.20.04,0.0
Shanxi-Central_PV-510,2035.10.20.08,0.060496
Shanxi-Central_PV-510,2035.10.20.12,0.158367
Shanxi-Central_PV-510,2035.10.20.16,0.116725
Shanxi-Central_PV-510,2035.10.20.20,0.0
Shanxi-Central_PV-510,2035.11.14.00,0.0
Shanxi-Central_PV-510,2035.11.14.04,0.0
Shanxi-Central_PV-510,2035.11.14.08,0.382463
Shanxi-Central_PV-510,2035.11.14.12,0.504119
Shanxi-Central_PV-510,2035.11.14.16,0.234789
Shanxi-Central_PV-510,2035.11.14.20,0.0
Shanxi-Central_PV-510,2035.12.25.00,0.0
Shanxi-Central_PV-510,2035.12.25.04,0.0
Shanxi-Central_PV-510,2035.12.25.08,0.132201
Shanxi-Central_PV-510,2035.12.25.12,0.413559
Shanxi-Central_PV-510,2035.12.25.16,0.16884
Shanxi-Central_PV-510,2035.12.25.20,0.0
Shanxi-Central_PV-510,2040.01.02.00,0.0
Shanxi-Central_PV-510,2040.01.02.04,0.0
Shanxi-Central_PV-510,2040.01.02.08,0.0875826
Shanxi-Central_PV-510,2040.01.02.12,0.377454
Shanxi-Central_PV-510,2040.01.02.16,0.0696631
Shanxi-Central_PV-510,2040.01.02.20,0.0
Shanxi-Central_PV-510,2040.02.07.00,0.0
Shanxi-Central_PV-510,2040.02.07.04,0.0
